index,position,stimulusId,isOddball,targetMs,onsetMs,deltaMs,ioiMs
53,54,base_01,0,8833.333,8835.900,2.567,166.600
54,55,oddball_01,1,9000.000,9002.600,2.600,166.700
55,56,base_04,0,9166.667,9169.300,2.633,166.700
56,57,base_03,0,9333.333,9335.900,2.567,166.600
57,58,base_02,0,9500.000,9502.600,2.600,166.700
58,59,base_03,0,9666.667,9669.200,2.533,166.600
59,60,oddball_01,1,9833.333,9835.900,2.567,166.700
60,61,base_04,0,10000.000,10002.600,2.600,166.700
61,62,base_01,0,10166.667,10169.200,2.533,166.600
62,63,base_03,0,10333.333,10335.800,2.467,166.600
63,64,base_02,0,10500.000,10502.600,2.600,166.800
64,65,oddball_01,1,10666.667,10669.200,2.533,166.600
65,66,base_01,0,10833.333,10835.800,2.467,166.600
66,67,base_04,0,11000.000,11002.500,2.500,166.700
67,68,base_01,0,11166.667,11169.100,2.433,166.600
68,69,base_02,0,11333.333,11335.800,2.467,166.700
69,70,oddball_01,1,11500.000,11502.400,2.400,166.600
70,71,base_03,0,11666.667,11669.000,2.333,166.600
71,72,base_04,0,11833.333,11835.800,2.467,166.800
72,73,base_03,0,12000.000,12002.400,2.400,166.600
73,74,base_01,0,12166.667,12169.100,2.433,166.700
74,75,oddball_01,1,12333.333,12335.700,2.367,166.600
75,76,base_02,0,12500.000,12502.500,2.500,166.800
76,77,base_04,0,12666.667,12669.100,2.433,166.600
77,78,base_03,0,12833.333,12835.800,2.467,166.700
78,79,base_01,0,13000.000,13002.400,2.400,166.600
79,80,oddball_01,1,13166.667,13169.200,2.533,166.800
80,81,base_03,0,13333.333,13335.700,2.367,166.500
81,82,base_01,0,13500.000,13502.400,2.400,166.700
82,83,base_03,0,13666.667,13668.900,2.233,166.500
83,84,base_04,0,13833.333,13835.600,2.267,166.700
84,85,oddball_01,1,14000.000,14002.300,2.300,166.700
85,86,base_04,0,14166.667,14169.000,2.333,166.700
86,87,base_01,0,14333.333,14335.700,2.367,166.700
87,88,base_02,0,14500.000,14502.300,2.300,166.600
88,89,base_01,0,14666.667,14668.900,2.233,166.600
89,90,oddball_01,1,14833.333,14835.600,2.267,166.700
90,91,base_03,0,15000.000,15002.400,2.400,166.800
91,92,base_02,0,15166.667,15169.000,2.333,166.600
92,93,base_01,0,15333.333,15335.600,2.267,166.600
93,94,base_02,0,15500.000,15502.300,2.300,166.700
94,95,oddball_01,1,15666.667,15669.000,2.333,166.700
95,96,base_01,0,15833.333,15835.600,2.267,166.600
96,97,base_02,0,16000.000,16002.300,2.300,166.700
97,98,base_01,0,16166.667,16168.900,2.233,166.600
98,99,base_03,0,16333.333,16335.500,2.167,166.600
99,100,oddball_01,1,16500.000,16502.300,2.300,166.800
100,101,base_04,0,16666.667,16669.000,2.333,166.700
101,102,base_02,0,16833.333,16835.700,2.367,166.700
102,103,base_01,0,17000.000,17002.300,2.300,166.600
103,104,base_02,0,17166.667,17168.900,2.233,166.600
104,105,oddball_01,1,17333.333,17335.500,2.167,166.600
105,106,base_01,0,17500.000,17502.200,2.200,166.700
106,107,base_02,0,17666.667,17668.900,2.233,166.700
107,108,base_03,0,17833.333,17835.600,2.267,166.700
108,109,base_04,0,18000.000,18002.200,2.200,166.600
109,110,oddball_01,1,18166.667,18168.900,2.233,166.700
110,111,base_01,0,18333.333,18335.500,2.167,166.600
111,112,base_03,0,18500.000,18502.100,2.100,166.600
112,113,base_04,0,18666.667,18668.900,2.233,166.800
113,114,base_03,0,18833.333,18835.500,2.167,166.600
114,115,oddball_01,1,19000.000,19002.200,2.200,166.700
115,116,base_02,0,19166.667,19168.800,2.133,166.600
116,117,base_01,0,19333.333,19335.500,2.167,166.700
117,118,base_04,0,19500.000,19502.200,2.200,166.700
118,119,base_01,0,19666.667,19668.800,2.133,166.600
119,120,oddball_01,1,19833.333,19835.500,2.167,166.700
120,121,base_01,0,20000.000,20002.300,2.300,166.800
121,122,base_04,0,20166.667,20168.800,2.133,166.500
122,123,base_03,0,20333.333,20335.400,2.067,166.600
123,124,base_04,0,20500.000,20502.200,2.200,166.800
124,125,oddball_01,1,20666.667,20668.900,2.233,166.700
125,126,base_04,0,20833.333,20835.400,2.067,166.500
126,127,base_03,0,21000.000,21002.100,2.100,166.700
127,128,base_01,0,21166.667,21168.900,2.233,166.800
128,129,base_04,0,21333.333,21335.400,2.067,166.500
129,130,oddball_01,1,21500.000,21502.000,2.000,166.600
130,131,base_02,0,21666.667,21668.700,2.033,166.700
131,132,base_03,0,21833.333,21835.400,2.067,166.700
132,133,base_01,0,22000.000,22002.000,2.000,166.600
133,134,base_04,0,22166.667,22168.700,2.033,166.700
134,135,oddball_01,1,22333.333,22335.400,2.067,166.700
135,136,base_01,0,22500.000,22502.000,2.000,166.600
136,137,base_04,0,22666.667,22669.800,3.133,167.800
137,138,base_03,0,22833.333,22835.300,1.967,165.500
138,139,base_01,0,23000.000,23002.000,2.000,166.700
139,140,oddball_01,1,23166.667,23168.800,2.133,166.800
140,141,base_01,0,23333.333,23335.300,1.967,166.500
141,142,base_04,0,23500.000,23502.000,2.000,166.700
142,143,base_02,0,23666.667,23668.600,1.933,166.600
143,144,base_01,0,23833.333,23835.300,1.967,166.700
144,145,oddball_01,1,24000.000,24001.900,1.900,166.600
145,146,base_03,0,24166.667,24168.600,1.933,166.700
146,147,base_01,0,24333.333,24335.300,1.967,166.700
147,148,base_03,0,24500.000,24501.900,1.900,166.600
148,149,base_01,0,24666.667,24668.600,1.933,166.700
149,150,oddball_01,1,24833.333,24835.400,2.067,166.800
150,151,base_04,0,25000.000,25002.000,2.000,166.600
151,152,base_03,0,25166.667,25168.600,1.933,166.600
152,153,base_02,0,25333.333,25335.100,1.767,166.500
153,154,base_03,0,25500.000,25502.000,2.000,166.900
154,155,oddball_01,1,25666.667,25668.700,2.033,166.700
